nameWithOwner,url,createdAt,stargazerCount,name,updatedAt,primaryLanguage.name,pullRequests.totalCount,releases.totalCount,releases.nodes,open.totalCount,closed.totalCount
zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,2019-01-01T07:38:28Z,10735,flink-learning,2021-09-07T09:56:45Z,Java,11,0,[],0,0
Netflix/eureka,https://github.com/Netflix/eureka,2012-07-26T22:23:07Z,10701,eureka,2021-09-07T20:06:56Z,Java,735,141,"[{""createdAt"":""2015-10-08T21:17:09Z""},{""createdAt"":""2015-10-16T22:13:13Z""},{""createdAt"":""2015-10-23T19:55:51Z""},{""createdAt"":""2015-10-26T18:13:44Z""},{""createdAt"":""2015-11-03T16:36:00Z""},{""createdAt"":""2015-12-22T20:36:02Z""},{""createdAt"":""2016-01-05T19:11:24Z""},{""createdAt"":""2016-01-06T21:04:26Z""},{""createdAt"":""2016-02-04T00:51:14Z""},{""createdAt"":""2016-02-10T19:30:15Z""},{""createdAt"":""2016-02-16T19:47:01Z""},{""createdAt"":""2016-02-24T21:17:10Z""},{""createdAt"":""2016-03-03T00:42:17Z""},{""createdAt"":""2016-03-11T20:49:13Z""},{""createdAt"":""2016-03-17T19:25:31Z""},{""createdAt"":""2016-03-29T04:30:14Z""},{""createdAt"":""2016-05-11T01:21:56Z""},{""createdAt"":""2016-05-11T05:58:29Z""},{""createdAt"":""2016-05-11T05:58:29Z""},{""createdAt"":""2016-05-19T19:00:44Z""},{""createdAt"":""2016-06-28T21:36:15Z""},{""createdAt"":""2016-06-28T21:36:15Z""},{""createdAt"":""2016-07-06T21:48:42Z""},{""createdAt"":""2016-07-06T21:48:42Z""},{""createdAt"":""2016-07-22T18:14:14Z""},{""createdAt"":""2016-08-11T19:43:43Z""},{""createdAt"":""2016-09-06T23:44:25Z""},{""createdAt"":""2016-09-07T00:36:47Z""},{""createdAt"":""2016-09-08T06:26:31Z""},{""createdAt"":""2016-09-08T20:58:43Z""},{""createdAt"":""2016-09-08T20:58:43Z""},{""createdAt"":""2016-09-15T01:22:32Z""},{""createdAt"":""2016-09-15T19:25:01Z""},{""createdAt"":""2016-09-15T20:56:00Z""},{""createdAt"":""2016-09-20T05:53:38Z""},{""createdAt"":""2016-09-23T04:07:21Z""},{""createdAt"":""2016-09-26T01:14:14Z""},{""createdAt"":""2016-09-30T21:56:41Z""},{""createdAt"":""2016-09-30T21:56:41Z""},{""createdAt"":""2016-11-15T22:59:13Z""},{""createdAt"":""2016-11-21T20:23:21Z""},{""createdAt"":""2017-02-03T23:04:39Z""},{""createdAt"":""2017-06-02T04:52:42Z""},{""createdAt"":""2017-07-25T17:38:07Z""},{""createdAt"":""2017-07-25T17:38:07Z""},{""createdAt"":""2017-09-13T18:17:37Z""},{""createdAt"":""2017-09-18T19:45:30Z""},{""createdAt"":""2017-09-21T20:51:00Z""},{""createdAt"":""2017-10-03T19:32:24Z""},{""createdAt"":""2017-10-09T21:12:03Z""},{""createdAt"":""2017-11-01T18:27:01Z""},{""createdAt"":""2017-11-14T21:48:37Z""},{""createdAt"":""2018-02-15T23:34:33Z""},{""createdAt"":""2018-03-21T18:20:48Z""},{""createdAt"":""2018-04-09T21:45:22Z""},{""createdAt"":""2018-04-25T17:14:49Z""},{""createdAt"":""2018-05-31T22:06:44Z""},{""createdAt"":""2018-06-01T18:25:46Z""},{""createdAt"":""2018-06-25T23:40:13Z""},{""createdAt"":""2018-08-06T20:24:05Z""},{""createdAt"":""2018-09-17T22:50:14Z""},{""createdAt"":""2018-10-26T00:53:12Z""},{""createdAt"":""2018-11-12T17:52:40Z""},{""createdAt"":""2018-11-14T21:54:58Z""},{""createdAt"":""2019-01-11T00:26:24Z""},{""createdAt"":""2019-06-07T16:11:13Z""},{""createdAt"":""2019-06-12T00:14:53Z""},{""createdAt"":""2019-06-13T18:29:29Z""},{""createdAt"":""2019-09-04T16:56:03Z""},{""createdAt"":""2019-11-11T17:55:18Z""},{""createdAt"":""2019-12-19T21:46:53Z""},{""createdAt"":""2019-12-20T17:41:42Z""},{""createdAt"":""2020-01-27T18:28:32Z""},{""createdAt"":""2020-02-03T21:50:53Z""},{""createdAt"":""2020-04-07T17:27:28Z""},{""createdAt"":""2020-04-07T22:45:15Z""},{""createdAt"":""2020-04-30T22:19:05Z""},{""createdAt"":""2020-05-11T22:10:18Z""},{""createdAt"":""2020-06-18T17:27:29Z""},{""createdAt"":""2020-06-26T20:07:09Z""},{""createdAt"":""2020-06-29T23:28:27Z""},{""createdAt"":""2020-09-14T17:26:23Z""},{""createdAt"":""2020-09-28T22:38:58Z""},{""createdAt"":""2020-09-29T00:19:29Z""},{""createdAt"":""2020-09-29T17:53:40Z""},{""createdAt"":""2020-09-29T17:53:40Z""},{""createdAt"":""2020-09-29T17:53:40Z""},{""createdAt"":""2020-10-14T21:52:04Z""},{""createdAt"":""2020-10-15T18:34:39Z""},{""createdAt"":""2020-10-16T19:52:04Z""},{""createdAt"":""2020-11-06T18:01:35Z""},{""createdAt"":""2020-11-11T21:38:37Z""},{""createdAt"":""2020-11-12T18:42:16Z""},{""createdAt"":""2020-12-01T19:26:00Z""},{""createdAt"":""2021-01-14T00:34:28Z""},{""createdAt"":""2021-03-03T23:51:10Z""},{""createdAt"":""2021-05-18T21:24:40Z""},{""createdAt"":""2021-06-09T17:45:31Z""},{""createdAt"":""2021-08-05T21:17:27Z""}]",26,545
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,2011-02-20T03:25:07Z,10647,android-async-http,2021-09-06T10:58:30Z,Java,165,3,"[{""createdAt"":""2019-07-20T15:42:25Z""},{""createdAt"":""2019-06-03T08:11:58Z""},{""createdAt"":""2020-06-29T07:32:51Z""}]",107,975
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,10614,Mybatis-PageHelper,2021-09-07T14:28:22Z,Java,19,8,"[{""createdAt"":""2017-01-02T06:49:57Z""},{""createdAt"":""2017-07-31T13:22:11Z""},{""createdAt"":""2018-09-04T13:54:39Z""},{""createdAt"":""2018-09-04T13:54:57Z""},{""createdAt"":""2019-11-27T01:58:03Z""},{""createdAt"":""2019-06-05T13:29:34Z""},{""createdAt"":""2020-07-26T14:00:26Z""},{""createdAt"":""2021-06-20T09:01:08Z""}]",168,407
antlr/antlr4,https://github.com/antlr/antlr4,2010-02-04T01:36:28Z,10596,antlr4,2021-09-07T13:34:21Z,Java,1085,22,"[{""createdAt"":""2013-06-30T22:05:12Z""},{""createdAt"":""2014-01-23T18:06:18Z""},{""createdAt"":""2014-02-04T23:19:11Z""},{""createdAt"":""2014-03-25T15:57:44Z""},{""createdAt"":""2014-04-07T02:18:12Z""},{""createdAt"":""2014-06-19T02:24:24Z""},{""createdAt"":""2014-07-16T21:15:31Z""},{""createdAt"":""2015-01-10T18:14:09Z""},{""createdAt"":""2015-01-14T01:29:38Z""},{""createdAt"":""2015-01-23T02:09:17Z""},{""createdAt"":""2015-06-30T22:27:34Z""},{""createdAt"":""2015-07-15T21:45:47Z""},{""createdAt"":""2016-01-30T18:01:50Z""},{""createdAt"":""2016-03-30T23:59:48Z""},{""createdAt"":""2016-12-15T22:25:38Z""},{""createdAt"":""2017-03-30T21:11:54Z""},{""createdAt"":""2017-12-09T20:04:21Z""},{""createdAt"":""2018-12-18T18:35:28Z""},{""createdAt"":""2020-01-19T16:18:55Z""},{""createdAt"":""2020-11-24T20:45:23Z""},{""createdAt"":""2021-01-05T19:22:06Z""},{""createdAt"":""2021-03-11T22:18:16Z""}]",616,1149
projectlombok/lombok,https://github.com/projectlombok/lombok,2009-06-08T19:46:41Z,10522,lombok,2021-09-07T20:03:31Z,Java,239,3,"[{""createdAt"":""2020-10-15T21:24:04Z""},{""createdAt"":""2020-10-08T18:35:56Z""},{""createdAt"":""2020-02-06T23:01:24Z""}]",731,1842
hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,2017-01-27T01:01:16Z,10436,Auto.js,2021-09-07T15:12:09Z,Java,37,0,[],49,588
google/guice,https://github.com/google/guice,2014-05-28T23:18:53Z,10411,guice,2021-09-07T12:59:24Z,Java,269,14,"[{""createdAt"":""2011-03-25T01:48:39Z""},{""createdAt"":""2009-05-20T00:51:58Z""},{""createdAt"":""2007-03-09T15:51:02Z""},{""createdAt"":""2014-09-24T21:01:36Z""},{""createdAt"":""2014-03-21T03:39:02Z""},{""createdAt"":""2015-04-28T20:18:44Z""},{""createdAt"":""2016-06-17T18:00:06Z""},{""createdAt"":""2018-02-28T18:36:29Z""},{""createdAt"":""2018-09-20T14:35:46Z""},{""createdAt"":""2018-10-29T17:23:40Z""},{""createdAt"":""2020-03-19T19:51:29Z""},{""createdAt"":""2020-10-27T23:13:34Z""},{""createdAt"":""2021-02-26T22:59:28Z""},{""createdAt"":""2021-02-25T14:13:30Z""}]",311,807
ben-manes/caffeine,https://github.com/ben-manes/caffeine,2014-12-13T08:45:11Z,10390,caffeine,2021-09-07T21:01:00Z,Java,63,55,"[{""createdAt"":""2015-03-24T00:37:41Z""},{""createdAt"":""2015-03-30T19:53:56Z""},{""createdAt"":""2015-04-18T15:55:52Z""},{""createdAt"":""2015-05-09T04:07:12Z""},{""createdAt"":""2015-07-13T00:11:09Z""},{""createdAt"":""2015-07-14T05:01:47Z""},{""createdAt"":""2015-09-03T03:37:27Z""},{""createdAt"":""2015-09-26T05:03:44Z""},{""createdAt"":""2015-11-09T06:28:38Z""},{""createdAt"":""2015-11-13T03:35:30Z""},{""createdAt"":""2015-12-02T05:17:12Z""},{""createdAt"":""2015-12-20T03:27:13Z""},{""createdAt"":""2016-01-18T04:25:09Z""},{""createdAt"":""2016-02-19T17:48:26Z""},{""createdAt"":""2016-02-25T05:16:57Z""},{""createdAt"":""2016-02-29T01:31:20Z""},{""createdAt"":""2016-03-23T03:12:31Z""},{""createdAt"":""2016-04-03T02:50:48Z""},{""createdAt"":""2016-04-03T09:11:42Z""},{""createdAt"":""2016-04-03T20:13:52Z""},{""createdAt"":""2016-04-17T18:51:00Z""},{""createdAt"":""2016-04-23T21:45:23Z""},{""createdAt"":""2016-06-13T02:41:19Z""},{""createdAt"":""2016-08-11T09:09:31Z""},{""createdAt"":""2016-08-27T21:39:14Z""},{""createdAt"":""2016-10-30T23:40:03Z""},{""createdAt"":""2016-11-07T02:27:38Z""},{""createdAt"":""2017-02-19T06:51:00Z""},{""createdAt"":""2017-05-08T05:29:02Z""},{""createdAt"":""2017-05-20T18:56:18Z""},{""createdAt"":""2017-05-29T03:34:37Z""},{""createdAt"":""2017-07-07T19:36:29Z""},{""createdAt"":""2017-08-04T18:23:19Z""},{""createdAt"":""2017-08-16T20:55:28Z""},{""createdAt"":""2017-09-22T20:25:31Z""},{""createdAt"":""2017-11-01T04:33:31Z""},{""createdAt"":""2017-12-28T02:01:26Z""},{""createdAt"":""2018-02-21T18:44:28Z""},{""createdAt"":""2019-02-24T04:16:39Z""},{""createdAt"":""2019-08-05T06:26:11Z""},{""createdAt"":""2020-01-15T17:08:55Z""},{""createdAt"":""2020-04-27T05:11:50Z""},{""createdAt"":""2020-05-18T06:57:46Z""},{""createdAt"":""2020-05-19T04:32:59Z""},{""createdAt"":""2020-06-28T23:48:40Z""},{""createdAt"":""2020-10-12T05:15:26Z""},{""createdAt"":""2020-12-07T05:12:33Z""},{""createdAt"":""2020-12-08T04:44:48Z""},{""createdAt"":""2021-02-16T05:01:47Z""},{""createdAt"":""2021-02-21T21:30:29Z""},{""createdAt"":""2021-03-17T18:11:56Z""},{""createdAt"":""2021-05-01T05:36:54Z""},{""createdAt"":""2021-05-03T01:03:26Z""},{""createdAt"":""2021-07-02T02:50:32Z""},{""createdAt"":""2021-07-02T02:28:19Z""}]",4,458
lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10385,JiaoZiVideoPlayer,2021-09-07T04:02:08Z,Java,41,78,"[{""createdAt"":""2015-12-31T08:00:32Z""},{""createdAt"":""2016-01-25T07:32:34Z""},{""createdAt"":""2016-02-19T19:20:22Z""},{""createdAt"":""2016-02-21T05:57:43Z""},{""createdAt"":""2016-02-21T17:05:56Z""},{""createdAt"":""2016-02-24T03:25:34Z""},{""createdAt"":""2016-02-24T08:10:25Z""},{""createdAt"":""2016-02-26T03:29:18Z""},{""createdAt"":""2016-03-09T09:55:59Z""},{""createdAt"":""2016-03-14T08:33:54Z""},{""createdAt"":""2016-03-15T10:09:39Z""},{""createdAt"":""2016-04-01T16:37:14Z""},{""createdAt"":""2016-04-09T03:53:26Z""},{""createdAt"":""2016-04-19T16:12:57Z""},{""createdAt"":""2016-04-24T14:54:15Z""},{""createdAt"":""2016-05-06T14:15:29Z""},{""createdAt"":""2016-05-15T07:30:26Z""},{""createdAt"":""2016-05-22T14:52:31Z""},{""createdAt"":""2016-05-29T02:17:29Z""},{""createdAt"":""2016-06-05T01:04:22Z""},{""createdAt"":""2016-06-11T13:15:51Z""},{""createdAt"":""2016-06-18T13:39:37Z""},{""createdAt"":""2016-06-26T05:41:38Z""},{""createdAt"":""2016-07-03T15:16:57Z""},{""createdAt"":""2016-07-10T08:29:52Z""},{""createdAt"":""2016-07-17T02:16:28Z""},{""createdAt"":""2016-07-31T16:53:22Z""},{""createdAt"":""2016-08-07T01:48:34Z""},{""createdAt"":""2016-08-14T05:28:14Z""},{""createdAt"":""2016-09-03T16:28:16Z""},{""createdAt"":""2016-09-25T14:41:21Z""},{""createdAt"":""2016-10-09T15:51:40Z""},{""createdAt"":""2016-10-23T14:07:49Z""},{""createdAt"":""2016-10-23T09:30:44Z""},{""createdAt"":""2016-11-06T12:17:29Z""},{""createdAt"":""2016-11-20T08:22:50Z""},{""createdAt"":""2016-12-04T15:15:57Z""},{""createdAt"":""2016-12-11T06:18:51Z""},{""createdAt"":""2016-12-18T15:00:22Z""},{""createdAt"":""2016-12-25T03:33:58Z""},{""createdAt"":""2016-12-26T15:27:24Z""},{""createdAt"":""2017-01-08T12:39:07Z""},{""createdAt"":""2017-01-22T12:27:27Z""},{""createdAt"":""2017-02-19T11:06:36Z""},{""createdAt"":""2017-03-05T07:47:21Z""},{""createdAt"":""2017-03-08T13:40:57Z""},{""createdAt"":""2017-04-16T13:40:34Z""},{""createdAt"":""2017-04-23T12:13:53Z""},{""createdAt"":""2017-07-09T04:58:35Z""},{""createdAt"":""2017-07-15T11:32:15Z""},{""createdAt"":""2017-08-07T16:09:56Z""},{""createdAt"":""2017-08-07T16:41:33Z""},{""createdAt"":""2017-09-09T15:16:34Z""},{""createdAt"":""2017-09-23T11:51:17Z""},{""createdAt"":""2017-10-28T15:03:16Z""},{""createdAt"":""2017-11-04T09:17:04Z""},{""createdAt"":""2017-11-27T04:41:59Z""},{""createdAt"":""2017-12-03T13:13:38Z""},{""createdAt"":""2017-12-09T03:47:09Z""},{""createdAt"":""2017-12-12T03:48:39Z""},{""createdAt"":""2018-01-14T15:03:28Z""},{""createdAt"":""2018-01-21T07:00:42Z""},{""createdAt"":""2018-01-22T08:11:21Z""},{""createdAt"":""2018-03-08T09:32:18Z""},{""createdAt"":""2018-03-24T10:13:35Z""},{""createdAt"":""2018-05-08T09:28:25Z""},{""createdAt"":""2018-06-30T12:35:41Z""},{""createdAt"":""2018-07-03T14:23:14Z""},{""createdAt"":""2018-09-02T06:48:25Z""},{""createdAt"":""2018-09-09T04:51:13Z""},{""createdAt"":""2018-11-17T10:54:34Z""},{""createdAt"":""2018-12-02T11:04:51Z""},{""createdAt"":""2019-02-05T08:56:59Z""},{""createdAt"":""2019-03-15T21:17:47Z""},{""createdAt"":""2019-05-01T09:44:57Z""},{""createdAt"":""2019-05-11T17:50:17Z""},{""createdAt"":""2019-05-28T18:08:59Z""},{""createdAt"":""2019-07-14T13:12:19Z""}]",266,2393
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10385,FlycoTabLayout,2021-09-07T06:05:42Z,Java,0,4,"[{""createdAt"":""2015-11-11T09:36:46Z""},{""createdAt"":""2015-12-11T09:16:11Z""},{""createdAt"":""2016-03-01T06:02:40Z""},{""createdAt"":""2016-04-23T05:11:37Z""}]",342,167
jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10372,okhttp-OkGo,2021-09-06T10:43:22Z,Java,5,14,"[{""createdAt"":""2016-03-29T15:29:02Z""},{""createdAt"":""2016-04-11T05:33:29Z""},{""createdAt"":""2016-05-05T17:06:04Z""},{""createdAt"":""2016-05-28T15:43:16Z""},{""createdAt"":""2016-08-04T03:20:38Z""},{""createdAt"":""2016-08-11T11:48:50Z""},{""createdAt"":""2016-09-15T05:22:24Z""},{""createdAt"":""2016-10-07T10:55:58Z""},{""createdAt"":""2016-12-07T06:20:42Z""},{""createdAt"":""2017-06-12T07:32:33Z""},{""createdAt"":""2017-06-14T09:06:05Z""},{""createdAt"":""2017-06-29T07:02:27Z""},{""createdAt"":""2017-07-11T08:42:19Z""},{""createdAt"":""2017-07-17T04:54:06Z""}]",443,513
heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,2019-03-10T01:40:01Z,10360,BigData-Notes,2021-09-07T13:50:35Z,Java,5,0,[],8,23
java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,2015-03-25T05:28:41Z,10350,jd-gui,2021-09-07T20:02:17Z,Java,9,18,"[{""createdAt"":""2015-04-25T15:21:15Z""},{""createdAt"":""2015-05-23T06:51:11Z""},{""createdAt"":""2015-06-20T07:13:31Z""},{""createdAt"":""2015-07-18T10:07:16Z""},{""createdAt"":""2015-08-08T14:21:10Z""},{""createdAt"":""2019-03-09T19:20:44Z""},{""createdAt"":""2019-04-11T05:23:01Z""},{""createdAt"":""2019-05-12T20:54:39Z""},{""createdAt"":""2019-05-18T10:08:50Z""},{""createdAt"":""2019-05-26T08:59:20Z""},{""createdAt"":""2019-06-02T05:50:37Z""},{""createdAt"":""2019-06-16T10:39:50Z""},{""createdAt"":""2019-06-21T06:01:02Z""},{""createdAt"":""2019-06-30T13:23:37Z""},{""createdAt"":""2019-07-13T21:39:48Z""},{""createdAt"":""2019-11-02T06:30:32Z""},{""createdAt"":""2019-11-17T18:09:22Z""},{""createdAt"":""2019-12-25T14:42:26Z""}]",146,168
seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,2016-09-09T07:46:32Z,10324,spring-analysis,2021-09-07T02:14:26Z,Java,6,0,[],10,3
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,2015-12-22T11:17:16Z,10292,FileDownloader,2021-09-07T10:18:47Z,Java,36,65,"[{""createdAt"":""2016-01-13T05:14:29Z""},{""createdAt"":""2016-01-04T10:31:42Z""},{""createdAt"":""2015-12-27T08:22:14Z""},{""createdAt"":""2015-12-25T05:48:53Z""},{""createdAt"":""2015-12-24T14:56:34Z""},{""createdAt"":""2015-12-23T14:30:26Z""},{""createdAt"":""2015-12-22T14:57:42Z""},{""createdAt"":""2016-01-17T16:48:44Z""},{""createdAt"":""2016-01-23T05:18:23Z""},{""createdAt"":""2016-02-15T02:54:06Z""},{""createdAt"":""2016-04-05T12:16:15Z""},{""createdAt"":""2016-04-06T03:29:36Z""},{""createdAt"":""2016-04-11T03:43:33Z""},{""createdAt"":""2016-04-18T06:50:32Z""},{""createdAt"":""2016-04-19T05:51:04Z""},{""createdAt"":""2016-04-19T17:45:29Z""},{""createdAt"":""2016-04-21T16:36:44Z""},{""createdAt"":""2016-05-02T08:15:43Z""},{""createdAt"":""2016-05-10T07:39:53Z""},{""createdAt"":""2016-05-13T12:03:34Z""},{""createdAt"":""2016-05-19T11:50:53Z""},{""createdAt"":""2016-06-12T11:17:28Z""},{""createdAt"":""2016-07-10T11:09:49Z""},{""createdAt"":""2016-07-31T15:45:16Z""},{""createdAt"":""2016-08-16T15:10:06Z""},{""createdAt"":""2016-08-21T07:11:14Z""},{""createdAt"":""2016-09-05T03:53:27Z""},{""createdAt"":""2016-09-06T12:40:10Z""},{""createdAt"":""2016-09-13T14:07:18Z""},{""createdAt"":""2016-09-29T05:34:33Z""},{""createdAt"":""2016-10-04T15:08:55Z""},{""createdAt"":""2016-10-09T14:06:59Z""},{""createdAt"":""2016-10-15T10:38:22Z""},{""createdAt"":""2016-10-31T08:11:12Z""},{""createdAt"":""2016-12-18T12:44:25Z""},{""createdAt"":""2017-01-10T17:26:38Z""},{""createdAt"":""2017-02-02T16:31:51Z""},{""createdAt"":""2017-03-14T17:06:39Z""},{""createdAt"":""2017-05-07T03:31:58Z""},{""createdAt"":""2017-06-04T17:23:50Z""},{""createdAt"":""2017-06-05T03:47:23Z""},{""createdAt"":""2017-06-07T15:26:27Z""},{""createdAt"":""2017-06-08T15:02:32Z""},{""createdAt"":""2017-06-11T15:02:09Z""},{""createdAt"":""2017-06-12T13:40:18Z""},{""createdAt"":""2017-06-18T08:05:44Z""},{""createdAt"":""2017-06-25T16:15:22Z""},{""createdAt"":""2017-06-28T08:18:30Z""},{""createdAt"":""2017-07-04T14:59:04Z""},{""createdAt"":""2017-07-06T16:47:41Z""},{""createdAt"":""2017-07-13T16:03:14Z""},{""createdAt"":""2017-07-16T16:00:24Z""},{""createdAt"":""2017-07-29T10:15:14Z""},{""createdAt"":""2017-08-21T13:46:25Z""},{""createdAt"":""2017-09-11T07:02:51Z""},{""createdAt"":""2017-09-29T09:04:25Z""},{""createdAt"":""2017-10-12T05:26:10Z""},{""createdAt"":""2017-10-13T13:25:58Z""},{""createdAt"":""2017-12-16T02:41:39Z""},{""createdAt"":""2018-02-01T15:52:30Z""},{""createdAt"":""2018-02-05T11:38:07Z""},{""createdAt"":""2018-03-13T16:57:17Z""},{""createdAt"":""2018-04-20T15:10:13Z""},{""createdAt"":""2018-05-19T15:58:03Z""},{""createdAt"":""2018-08-03T08:09:52Z""}]",130,1183
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10229,RxPermissions,2021-09-07T03:51:11Z,Java,37,11,"[{""createdAt"":""2015-10-02T14:58:58Z""},{""createdAt"":""2015-10-19T09:52:04Z""},{""createdAt"":""2015-11-02T15:07:09Z""},{""createdAt"":""2015-11-30T10:27:32Z""},{""createdAt"":""2015-12-01T14:12:52Z""},{""createdAt"":""2015-12-07T13:49:26Z""},{""createdAt"":""2018-07-06T17:13:01Z""},{""createdAt"":""2018-07-06T19:32:41Z""},{""createdAt"":""2018-07-10T21:14:41Z""},{""createdAt"":""2020-07-09T07:04:15Z""},{""createdAt"":""2020-07-12T12:37:35Z""}]",81,192
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10228,ViewPagerIndicator,2021-09-07T10:22:48Z,Java,21,0,[],134,146
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,2014-07-25T11:39:13Z,10177,spring-boot-admin,2021-09-07T10:18:51Z,Java,228,59,"[{""createdAt"":""2014-10-06T12:17:30Z""},{""createdAt"":""2014-10-10T07:51:00Z""},{""createdAt"":""2014-12-08T12:37:04Z""},{""createdAt"":""2014-12-19T12:15:05Z""},{""createdAt"":""2015-02-13T11:58:02Z""},{""createdAt"":""2015-05-19T17:00:41Z""},{""createdAt"":""2015-03-20T06:09:28Z""},{""createdAt"":""2015-07-12T13:45:02Z""},{""createdAt"":""2015-08-03T18:16:30Z""},{""createdAt"":""2015-10-20T18:06:40Z""},{""createdAt"":""2015-11-22T10:40:04Z""},{""createdAt"":""2015-12-18T21:11:21Z""},{""createdAt"":""2016-05-18T17:02:50Z""},{""createdAt"":""2016-06-19T21:21:25Z""},{""createdAt"":""2016-07-21T17:02:03Z""},{""createdAt"":""2016-08-07T19:39:30Z""},{""createdAt"":""2016-08-07T19:40:04Z""},{""createdAt"":""2016-08-08T15:22:05Z""},{""createdAt"":""2016-09-22T20:22:35Z""},{""createdAt"":""2016-10-19T17:21:07Z""},{""createdAt"":""2016-10-19T04:22:34Z""},{""createdAt"":""2016-11-16T17:36:58Z""},{""createdAt"":""2016-12-26T19:57:51Z""},{""createdAt"":""2017-02-17T12:17:05Z""},{""createdAt"":""2017-04-12T19:38:15Z""},{""createdAt"":""2017-06-06T15:56:00Z""},{""createdAt"":""2017-06-25T09:18:27Z""},{""createdAt"":""2017-07-30T12:44:20Z""},{""createdAt"":""2017-08-29T20:32:55Z""},{""createdAt"":""2017-11-16T18:38:19Z""},{""createdAt"":""2017-12-15T19:24:51Z""},{""createdAt"":""2018-01-27T16:05:27Z""},{""createdAt"":""2018-05-18T21:29:14Z""},{""createdAt"":""2018-06-21T19:28:45Z""},{""createdAt"":""2018-07-31T05:57:08Z""},{""createdAt"":""2018-09-20T19:50:27Z""},{""createdAt"":""2018-10-22T06:14:18Z""},{""createdAt"":""2018-11-05T06:47:19Z""},{""createdAt"":""2018-11-11T15:07:30Z""},{""createdAt"":""2019-01-13T15:30:36Z""},{""createdAt"":""2019-02-16T16:47:39Z""},{""createdAt"":""2019-02-17T14:35:42Z""},{""createdAt"":""2019-04-05T14:34:43Z""},{""createdAt"":""2019-04-05T16:10:17Z""},{""createdAt"":""2019-05-17T13:34:33Z""},{""createdAt"":""2019-07-03T17:48:26Z""},{""createdAt"":""2019-11-30T13:53:21Z""},{""createdAt"":""2019-12-23T10:53:21Z""},{""createdAt"":""2020-02-02T10:54:52Z""},{""createdAt"":""2020-05-11T08:36:56Z""},{""createdAt"":""2020-07-22T19:47:49Z""},{""createdAt"":""2020-08-07T08:15:46Z""},{""createdAt"":""2020-11-10T20:06:25Z""},{""createdAt"":""2021-02-19T06:56:07Z""},{""createdAt"":""2021-04-16T06:06:17Z""},{""createdAt"":""2021-06-11T12:19:25Z""},{""createdAt"":""2021-07-02T12:47:04Z""},{""createdAt"":""2021-08-07T14:08:06Z""},{""createdAt"":""2021-08-23T18:53:19Z""}]",50,1320
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,2016-08-06T08:49:56Z,10104,MVPArms,2021-09-07T03:29:11Z,Java,32,25,"[{""createdAt"":""2017-01-10T08:05:14Z""},{""createdAt"":""2017-01-17T06:31:13Z""},{""createdAt"":""2017-03-15T03:59:03Z""},{""createdAt"":""2017-04-07T10:19:42Z""},{""createdAt"":""2017-04-13T10:16:14Z""},{""createdAt"":""2017-04-24T10:37:21Z""},{""createdAt"":""2017-04-25T08:13:29Z""},{""createdAt"":""2017-05-02T08:14:49Z""},{""createdAt"":""2017-05-04T05:30:52Z""},{""createdAt"":""2017-05-04T07:13:20Z""},{""createdAt"":""2017-05-04T15:25:49Z""},{""createdAt"":""2017-05-06T05:10:14Z""},{""createdAt"":""2017-05-18T02:54:03Z""},{""createdAt"":""2017-05-26T03:26:53Z""},{""createdAt"":""2017-06-15T02:57:50Z""},{""createdAt"":""2017-07-23T09:33:35Z""},{""createdAt"":""2017-08-24T02:43:47Z""},{""createdAt"":""2017-09-12T08:06:21Z""},{""createdAt"":""2017-11-06T10:01:29Z""},{""createdAt"":""2018-01-13T10:16:21Z""},{""createdAt"":""2018-04-08T07:07:50Z""},{""createdAt"":""2018-04-09T08:30:49Z""},{""createdAt"":""2018-11-12T06:48:13Z""},{""createdAt"":""2019-07-11T04:23:45Z""},{""createdAt"":""2019-07-14T09:13:12Z""}]",43,278
frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,10030,fullstack-tutorial,2021-09-07T14:35:37Z,Java,26,0,[],15,18
